Seed,Team,Games Played,Wins,Losses,Overtime/Shootout Losses,Points,Point %,Regulation Wins,Regulation/Overtime Wins,Goals For,Goals Against,Goal Differential
,Metropolitan,,,,,,,,,,,
1,New York Rangers,82,55,23,4,114,0.695,43,51,282,229,53
2,Carolina Hurricanes,82,52,23,7,111,0.677,44,50,279,216,63
3,New York Islanders,82,39,27,16,94,0.573,29,38,246,263,-17
,Atlantic,,,,,,,,,,,
1,Florida Panthers,82,52,24,6,110,0.671,42,49,268,200,68
2,Boston Bruins,82,47,20,15,109,0.665,36,43,267,224,43
3,Toronto Maple Leafs,82,46,26,10,102,0.622,33,41,303,263,40
,Wildcard - East,,,,,,,,,,,
1,Tampa Bay Lightning,82,45,29,8,98,0.598,37,42,291,268,23
2,Washington Capitals,82,40,31,11,91,0.555,32,36,220,257,-37
3,Detroit Red Wings,82,41,32,9,91,0.555,27,38,278,274,4
4,Pittsburgh Penguins,82,38,32,12,88,0.537,32,36,255,249,6
5,Philadelphia Flyers,82,38,33,11,87,0.53,30,34,235,261,-26
6,Buffalo Sabres,82,39,37,6,84,0.512,33,37,246,244,2
7,New Jersey Devils,82,38,39,5,81,0.494,33,38,264,282,-18
8,Ottawa Senators,82,37,41,4,78,0.476,25,32,255,281,-26
9,Montreal Canadiens,82,30,36,16,76,0.463,20,26,236,289,-53
10,Columbus Blue Jackets,82,27,43,12,66,0.402,21,24,237,300,-63
,Central,,,,,,,,,,,
1,Dallas Stars,82,52,21,9,113,0.689,40,48,298,234,64
2,Winnipeg Jets,82,52,24,6,110,0.671,46,52,259,199,60
3,Colorado Avalanche,82,50,25,7,107,0.652,42,48,304,254,50
,Pacific,,,,,,,,,,,
1,Vancouver Canucks,82,50,23,9,109,0.665,44,50,279,223,56
2,Edmonton Oilers,82,49,27,6,104,0.634,39,47,294,237,57
3,Los Angeles Kings,82,44,27,11,99,0.604,37,42,256,215,41
,Wild Card - West,,,,,,,,,,,
1,Nashville Predators,82,47,30,5,99,0.604,38,44,269,248,21
2,Vegas Golden Knights,82,45,29,8,98,0.598,34,41,267,245,22
3,St Louis Blues,82,43,33,6,92,0.561,31,38,239,250,-11
4,Minnesota Wild,82,39,33,10,88,0.537,32,36,250,263,-13
5,Calgary Flames,82,38,39,5,81,0.494,32,38,253,271,-18
6,Seattle Kraken,82,34,35,13,81,0.494,28,31,217,236,-19
7,Arizona Coyotes,82,36,41,5,77,0.47,28,34,256,274,-18
8,Anaheim Ducks,82,27,50,5,59,0.36,21,26,204,294,-90
9,Chicago Blackhawks,82,23,53,6,52,0.317,17,22,179,290,-111
10,San Jose Sharks,82,19,54,9,47,0.287,14,18,181,331,-150
